GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Require Charset,com.github.gantsign.errorprone.require.charset,GetBytesWithoutCharset,0,66,0,4,0,13,0,5,0,3
Require Charset,com.github.gantsign.errorprone.require.charset,NewStringWithoutCharset,0,101,0,4,0,20,0,5,0,3
Require Charset,com.github.gantsign.errorprone.require.charset,FileReaderLacksCharset,0,69,0,4,0,16,0,5,0,3
Require Charset,com.github.gantsign.errorprone.require.charset,OutputStreamWriterWithoutCharset,0,82,0,4,0,15,0,5,0,3
Require Charset,com.github.gantsign.errorprone.require.charset,CharsetSuggestions,0,10,0,0,0,3,0,2,0,2
Require Charset,com.github.gantsign.errorprone.require.charset,CharsetForStandardCharset,0,171,0,6,0,42,0,11,0,8
Require Charset,com.github.gantsign.errorprone.require.charset,FileWriterLacksCharset,0,69,0,4,0,16,0,5,0,3
Require Charset,com.github.gantsign.errorprone.require.charset,InputStreamReaderWithoutCharset,0,82,0,4,0,15,0,5,0,3
